      Energy	InelasticMFP
        (eV)	        (nm)
2.754229e+05	1.054265e+02
2.818383e+05	1.064219e+02
2.884032e+05	1.074109e+02
2.951209e+05	1.083930e+02
3.019952e+05	1.093679e+02
3.090295e+05	1.103351e+02
3.162278e+05	1.112942e+02
3.235937e+05	1.122449e+02
3.311311e+05	1.131867e+02
3.388442e+05	1.141194e+02
3.467369e+05	1.150425e+02
3.548134e+05	1.159556e+02
3.630781e+05	1.168585e+02
3.715352e+05	1.177508e+02
3.801894e+05	1.186321e+02
3.890451e+05	1.195022e+02
3.981072e+05	1.203606e+02
4.073803e+05	1.212071e+02
4.168694e+05	1.220415e+02
4.265795e+05	1.228634e+02
4.365158e+05	1.236725e+02
4.466836e+05	1.244686e+02
4.570882e+05	1.252514e+02
4.677351e+05	1.260207e+02
4.786301e+05	1.267764e+02
4.897788e+05	1.275180e+02
5.011872e+05	1.282455e+02
5.128614e+05	1.289588e+02
5.248075e+05	1.296575e+02
5.370318e+05	1.303415e+02
5.495409e+05	1.310108e+02
5.623413e+05	1.316651e+02
5.754399e+05	1.323044e+02
5.888437e+05	1.329285e+02
6.025596e+05	1.335374e+02
6.165950e+05	1.341310e+02
6.309573e+05	1.347092e+02
6.456542e+05	1.352719e+02
6.606934e+05	1.358192e+02
6.760830e+05	1.363510e+02
6.918310e+05	1.368673e+02
7.079458e+05	1.373682e+02
7.244360e+05	1.378535e+02
7.413102e+05	1.383234e+02
7.585776e+05	1.387779e+02
7.762471e+05	1.392171e+02
7.943282e+05	1.396410e+02
8.128305e+05	1.400497e+02
8.317638e+05	1.404432e+02
8.511380e+05	1.408218e+02
8.709636e+05	1.411854e+02
8.912509e+05	1.415343e+02
9.120108e+05	1.418685e+02
9.332543e+05	1.421882e+02
9.549926e+05	1.424935e+02
9.772372e+05	1.427846e+02
1.000000e+06	1.430616e+02
